Scrip Code,COMPANY,ISIN No.,Close Price
512599,Adani Enterprises Ltd,INE423A01024,1740.55
532921,Adani Ports and Special Economic Zone,INE742F01042,638.2
500820,Asian Paints Ltd,INE021A01026,2798.7
532215,Axis Bank Ltd,INE238A01034,840.5
532977,Bajaj Auto Ltd,INE917I01010,3825.65
500034,Bajaj Finance Ltd,INE296A01024,5650.65
532978,Bajaj Finserv Ltd,INE918I01026,1241.05
500547,Bharat Petroleum Corp Ltd,INE029A01011,345.2
532454,Bharti Airtel Ltd,INE397D01024,762.25
500825,Britannia Industries Ltd.,INE216A01030,4195.65
500087,Cipla Ltd/India,INE059A01026,877
533278,Coal India Ltd,INE522F01014,208.55
500096,Dabur India Ltd,INE016A01026,536.25
532488,Divi's Laboratories Ltd,INE361B01024,2806.25
500124,Dr Reddy's Laboratories Ltd,INE089A01023,4462.3
505200,Eicher Motors Ltd,INE066A01021,2908.95
500300,Grasim Industries Ltd,INE047A01021,1593.9
532281,HCL Technologies Ltd,INE860A01027,1051.55
500180,HDFC Bank Ltd,INE040A01034,1561.75
540777,HDFC Life Insurance Company Ltd,INE795G01014,492.3
500182,Hero MotoCorp Ltd,INE158A01026,2313.6
500440,Hindalco Industries Ltd,INE038A01020,388.35
500696,Hindustan Unilever Ltd,INE030A01027,2480.5
500010,Housing Development Finance Corp,INE001A01036,2563.55
532174,ICICI Bank Ltd,INE090A01021,852.05
532187,IndusInd Bank Ltd,INE095A01012,1010.2
500209,Infosys Ltd,INE009A01021,1380.45
500875,ITC Ltd,INE154A01025,378.7
500228,JSW Steel Ltd,INE019A01038,657.3
500247,Kotak Mahindra Bank Ltd,INE237A01028,1691.55
500510,Larsen & Toubro Ltd,INE018A01030,2163.1
500520,Mahindra & Mahindra Ltd,INE101A01026,1150.2
532500,Maruti Suzuki India Ltd,INE585B01010,8236.25
500790,Nestle India Ltd,INE239A01016,18951.65
532555,NTPC Ltd,INE733E01010,172.7
500312,Oil & Natural Gas Corp Ltd,INE213A01029,149.5
532898,Power Grid Corp of India Ltd,INE752E01010,222.45
500325,Reliance Industries Ltd,INE002A01018,2203.5
540719,SBI Life Insurance Company Ltd,INE123W01016,1113
500112,State Bank of India,INE062A01020,505.6
524715,Sun Pharmaceutical Industries Ltd,INE044A01036,972.8
532540,Tata Consultancy Services Ltd,INE467B01029,3121.45
500800,Tata Consumer Products Ltd,INE192A01025,702.15
500570,Tata Motors Ltd,INE155A01022,416.25
500470,Tata Steel Ltd,INE081A01020,102.15
532755,Tech Mahindra Ltd,INE669C01036,1101.55
500114,Titan Co Ltd,INE280A01028,2492.95
532538,UltraTech Cement Ltd,INE481G01011,7401.35
512070,UPL Ltd,INE628A01036,697.2
507685,Wipro Ltd,INE075A01022,361.55
