Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
NIFTY 50,"17,076.20","17,109.45","16,917.35","16,945.05",-131.85,-0.77,"2,280.38","19,019.79","18,887.60","15,183.40",-1.74,-4.95
CIPLA,869.1,879,866.15,878.4,9.3,1.07,31.66,276.84,"1,180.10",852,-13.41,-9.06
KOTAKBANK,"1,676.05","1,708.95","1,675.00","1,687.70",8,0.48,54.81,928.27,"1,997.55","1,631.00",-4.64,-2.46
APOLLOHOSP,"4,277.50","4,354.65","4,261.00","4,289.00",15.95,0.37,3.55,153.01,"4,903.65","3,361.55",-6.93,-4.73
INFY,"1,388.00","1,398.95","1,377.50","1,378.95",4.4,0.32,75.59,"1,049.94","1,919.00","1,355.00",-26.35,-12.7
TECHM,"1,105.00","1,118.00","1,096.65","1,103.00",3.55,0.32,19.43,215.01,"1,574.95",943.7,-28.48,-2.77
DRREDDY,"4,449.95","4,498.00","4,449.95","4,455.10",8.15,0.18,2.25,100.77,"4,625.00","3,789.85",7.94,-0.69
POWERGRID,223,224.25,220.8,222.45,0.3,0.14,77.79,173.12,248.35,186.35,5.88,2.42
ASIANPAINT,"2,797.80","2,815.65","2,772.85","2,800.00",2.2,0.08,7.84,219.32,"3,582.90","2,560.00",-7.19,-0.61
DIVISLAB,"2,817.20","2,828.15","2,795.00","2,804.75",1.65,0.06,2.92,82.01,"4,640.80","2,730.00",-38.41,-3.9
WIPRO,363.35,366.85,361,361.25,-0.25,-0.07,39.53,143.53,615,360.35,-40.89,-10.3
HINDUNILVR,"2,472.20","2,497.90","2,470.00","2,483.00",-2.1,-0.08,14.49,359.88,"2,741.60","1,931.30",25.5,-1.32
BHARTIARTL,763.55,767,758.85,762.9,-0.65,-0.09,23.37,178.27,860.55,628.75,8.22,-2.07
HDFCBANK,"1,560.00","1,573.90","1,554.95","1,559.65",-3.5,-0.22,157.39,"2,464.17","1,722.10","1,271.60",5.44,-5.27
ULTRACEMCO,"7,404.00","7,431.20","7,327.55","7,380.05",-27.9,-0.38,2.29,169.02,"7,492.00","5,157.05",18.38,0.54
ITC,381.5,383,378,378.9,-1.75,-0.46,99.35,378.61,394,248.5,50.36,-0.88
TCS,"3,148.90","3,170.00","3,106.00","3,110.15",-14.5,-0.46,13.3,418.07,"3,835.60","2,926.10",-16.22,-9.88
ICICIBANK,852.5,860,849.15,851.45,-4,-0.47,172.96,"1,478.68",958.2,669.95,18.54,-0.32
SUNPHARMA,977.6,979,968,973,-4.65,-0.48,15.34,149.43,"1,072.15",789.9,8.02,0.14
GRASIM,"1,605.00","1,608.45","1,587.30","1,597.90",-8.05,-0.5,3.73,59.52,"1,839.50","1,276.60",1,-2.16
