Date,CIPLA,KOTAKBANK,APOLLOHOSP,INFY,TECHM,DRREDDY,POWERGRID,ASIANPAINT,DIVISLAB,WIPRO,HINDUNILVR,BHARTIARTL,HDFCBANK,ULTRACEMCO,ITC,TCS,ICICIBANK,SUNPHARMA,GRASIM,BPCL,TATAMOTORS,NESTLEIND,SBILIFE,HDFC,TATACONSUM,INDUSINDBK,EICHERMOT,BRITANNIA,AXISBANK,NTPC,BAJAJ-AUTO,MARUTI,JSWSTEEL,TITAN,SBIN,M&M,HDFCLIFE,LT,HCLTECH,UPL,RELIANCE,ONGC,COALINDIA,HEROMOTOCO,ADANIENT,ADANIPORTS,HINDALCO,TATASTEEL,BAJFINANCE,BAJAJFINSV
2014-12-31,626.4,1263.9,1129.7,1972.55,2593.55,3246.2,138.0,752.3,1723.25,555.2,760.1,352.7,951.6,2676.05,368.7,2558.25,353.1,826.55,3385.05,646.0,495.55,6384.85,,1135.9,150.95,802.45,15075.0,1840.1,502.4,144.0,2432.45,3329.8,1047.75,381.65,311.85,1234.45,,1494.65,1596.9,346.55,891.15,341.35,383.85,3106.65,486.3,319.05,157.55,399.4,3483.95,1307.65
2015-01-01,628.4,1258.6,1125.9,1974.4,2594.55,3210.5,137.1,749.15,1745.45,552.4,758.45,362.9,952.05,2662.5,367.15,2545.55,352.3,822.2,3402.5,654.2,498.45,6317.95,,1124.0,150.7,812.0,15262.35,1831.5,503.05,142.45,2452.15,3340.75,1065.9,379.8,314.0,1237.05,,1502.95,1606.8,341.6,887.9,344.05,380.05,3105.4,490.0,319.55,158.45,404.45,3499.7,1286.6
2015-01-02,630.15,1271.55,1127.85,2013.2,2607.25,3221.4,138.75,775.05,1752.9,557.3,755.95,365.05,965.3,2742.1,368.3,2579.45,362.3,826.25,3495.7,644.4,511.8,6331.5,,1171.9,152.5,815.9,15081.95,1878.55,514.3,144.4,2451.75,3359.6,1069.15,382.8,315.25,1224.65,,1534.65,1605.25,352.25,885.55,349.2,381.75,3098.1,492.4,319.35,160.1,410.75,3443.75,1275.65
2015-01-05,633.0,1266.45,1131.6,1995.9,2563.75,3148.4,138.9,775.0,1742.35,558.3,760.3,356.95,957.15,2747.7,369.75,2540.25,363.05,826.75,3508.85,645.65,523.8,6334.9,,1156.4,152.95,819.1,15150.55,1879.85,517.55,144.0,2460.7,3447.8,1066.6,385.9,312.75,1218.45,,1556.0,1578.25,345.7,875.85,353.15,380.25,3119.4,500.55,323.8,156.85,416.7,3434.75,1258.7
2015-01-06,614.35,1251.35,1097.9,1954.2,2536.25,3065.55,135.8,756.5,1674.15,545.25,774.7,354.15,942.25,2670.6,360.25,2446.6,347.65,808.55,3375.05,639.15,501.4,6246.8,,1101.95,148.15,798.4,14755.9,1881.9,499.05,139.2,2441.5,3395.25,1027.7,372.7,299.9,1211.65,,1504.1,1536.1,328.95,836.1,333.15,379.95,3014.4,496.75,321.85,153.4,396.5,3425.85,1229.6
2015-01-07,611.95,1271.5,1106.5,1963.55,2524.4,3039.2,137.75,771.7,1649.65,541.1,801.9,355.0,945.0,2660.05,353.55,2417.7,338.25,809.8,3417.5,644.95,493.85,6272.95,,1099.25,148.45,791.95,14959.9,1995.75,498.65,142.55,2447.2,3437.75,1011.85,374.6,300.15,1224.15,,1500.5,1499.6,323.05,854.3,338.05,374.7,2974.05,492.35,321.1,148.9,388.9,3495.6,1228.55
2015-01-08,618.2,1340.65,1126.35,1973.45,2566.65,3066.3,138.35,820.35,1653.05,545.0,817.05,361.15,964.85,2727.45,362.4,2443.8,347.45,818.8,3424.95,677.6,512.0,6300.45,,1123.35,153.7,798.7,14873.7,1969.2,501.95,144.95,2450.4,3475.5,1022.1,372.9,304.85,1237.6,,1510.05,1534.3,332.8,842.05,341.8,379.45,2984.0,511.75,334.55,152.55,394.95,3489.65,1289.8
2015-01-09,632.35,1360.95,1124.65,2074.45,2680.35,3163.8,138.45,812.5,1702.25,553.5,864.6,355.8,975.65,2729.35,356.9,2512.3,341.85,830.05,3404.55,679.35,522.3,6386.35,,1113.3,155.6,802.0,14738.7,1945.3,494.95,140.25,2375.85,3468.2,1012.95,372.9,303.2,1238.2,,1500.25,1545.55,332.35,860.3,351.0,375.05,2992.25,506.65,331.15,155.0,399.65,3450.05,1279.2
2015-01-12,630.75,1371.0,1118.45,2115.95,2754.0,3207.25,136.5,807.75,1706.3,556.05,896.6,348.95,967.05,2700.3,357.85,2509.7,346.55,835.3,3435.55,676.4,522.3,6462.75,,1128.55,157.35,829.45,14857.65,1932.0,501.55,140.0,2334.0,3462.9,1000.7,376.8,307.1,1233.0,,1534.2,1575.55,330.6,850.3,347.7,357.85,2937.15,514.55,328.45,151.1,396.75,3438.2,1267.7
2015-01-13,636.4,1392.95,1150.1,2088.9,2761.1,3223.35,135.85,833.85,1723.9,563.5,884.55,346.3,963.35,2818.5,360.1,2497.9,340.9,833.1,3546.35,669.55,519.45,6714.65,,1122.2,155.25,825.5,14799.15,1933.4,504.5,138.95,2324.1,3468.25,993.45,372.2,305.1,1248.8,,1519.5,1583.6,344.75,843.15,339.95,361.2,2893.2,496.7,323.0,151.7,391.5,3483.0,1286.45
