secid,2020-12-31,2021-12-31,2022-12-31
ADANIENT.NS,0.102807561341612,0.15,0.15
ADANIPORTS.NS,0.001,0.001,0.001
APOLLOHOSP.NS,0.001,0.15,0.0141004953249109
ASIANPAINT.NS,0.15,0.0173025212686744,0.0061287777200778
AXISBANK.NS,0.001,0.001,0.001
BAJAJ-AUTO.NS,0.001,0.001,0.001
BAJAJFINSV.NS,0.001,0.001,0.001
BAJFINANCE.NS,0.001,0.001,0.001
BHARTIARTL.NS,0.001,0.001,0.001
BPCL.NS,0.001,0.001,0.001
BRITANNIA.NS,0.001,0.001,0.060326171571904
CIPLA.NS,0.001,0.069072390047617,0.111478647968922
COALINDIA.NS,0.001,0.001,0.0410784188680775
DIVISLAB.NS,0.15,0.15,0.001
DRREDDY.NS,0.15,0.001,0.001
EICHERMOT.NS,0.001,0.001,0.001
GRASIM.NS,0.001,0.001,0.001
HCLTECH.NS,0.0679866224883248,0.001,0.001
HDFCBANK.NS,0.001,0.001,0.001
HDFCLIFE.NS,0.001,0.001,0.001
HEROMOTOCO.NS,0.001,0.001,0.001
HINDALCO.NS,0.001,0.001,0.001
HINDUNILVR.NS,0.001,0.001,0.001
ICICIBANK.NS,0.001,0.001,0.001
INDUSINDBK.NS,0.001,0.001,0.001
INFY.NS,0.0671615825231488,0.0813223644502658,0.001
ITC.NS,0.001,0.001,0.129555661863286
JSWSTEEL.NS,0.001,0.001,0.001
KOTAKBANK.NS,0.001,0.001,0.001
LT.NS,0.001,0.001,0.001
LTIM.NS,0.120044233646915,0.15,0.001
M&M.NS,0.001,0.001,0.001
MARUTI.NS,0.001,0.001,0.001
NESTLEIND.NS,0.001,0.001,0.0782382225662592
NTPC.NS,0.001,0.001,0.084596812568598
ONGC.NS,0.001,0.001,0.0502209364738538
POWERGRID.NS,0.001,0.041302724233444,0.0658674485319226
RELIANCE.NS,0.001,0.001,0.001
SBILIFE.NS,0.001,0.001,0.001
SBIN.NS,0.001,0.001,0.0660293300134147
SUNPHARMA.NS,0.001,0.001,0.0922745984188655
TATACONSUM.NS,0.15,0.001,0.001
TATAMOTORS.NS,0.001,0.001,0.001
TATASTEEL.NS,0.001,0.001,0.001
TCS.NS,0.001,0.001,0.001
TECHM.NS,0.001,0.001,0.001
TITAN.NS,0.001,0.001,0.0141044781099083
ULTRACEMCO.NS,0.001,0.001,0.001
UPL.NS,0.001,0.001,0.001
WIPRO.NS,0.001,0.15,0.001
