date,secid,weight
2020-12-31,ADANIENT.NS,0.1
2020-12-31,ADANIPORTS.NS,0.01
2020-12-31,APOLLOHOSP.NS,0.01
2020-12-31,ASIANPAINT.NS,0.0547090219980346
2020-12-31,AXISBANK.NS,0.01
2020-12-31,BAJAJ-AUTO.NS,0.01
2020-12-31,BAJFINANCE.NS,0.01
2020-12-31,BAJAJFINSV.NS,0.01
2020-12-31,BPCL.NS,0.01
2020-12-31,BHARTIARTL.NS,0.01
2020-12-31,BRITANNIA.NS,0.01
2020-12-31,CIPLA.NS,0.01
2020-12-31,COALINDIA.NS,0.01
2020-12-31,DIVISLAB.NS,0.1
2020-12-31,DRREDDY.NS,0.1
2020-12-31,EICHERMOT.NS,0.01
2020-12-31,GRASIM.NS,0.01
2020-12-31,HCLTECH.NS,0.01
2020-12-31,HDFCBANK.NS,0.01
2020-12-31,HDFCLIFE.NS,0.01
2020-12-31,HEROMOTOCO.NS,0.01
2020-12-31,HINDALCO.NS,0.01
2020-12-31,HINDUNILVR.NS,0.01
2020-12-31,ICICIBANK.NS,0.01
2020-12-31,ITC.NS,0.01
2020-12-31,INDUSINDBK.NS,0.01
2020-12-31,INFY.NS,0.0152909780019652
2020-12-31,JSWSTEEL.NS,0.01
2020-12-31,KOTAKBANK.NS,0.01
2020-12-31,LTIM.NS,0.1
2020-12-31,LT.NS,0.01
2020-12-31,M&M.NS,0.01
2020-12-31,MARUTI.NS,0.01
2020-12-31,NTPC.NS,0.01
2020-12-31,NESTLEIND.NS,0.01
2020-12-31,ONGC.NS,0.01
2020-12-31,POWERGRID.NS,0.01
2020-12-31,RELIANCE.NS,0.01
2020-12-31,SBILIFE.NS,0.01
2020-12-31,SBIN.NS,0.01
2020-12-31,SUNPHARMA.NS,0.01
2020-12-31,TCS.NS,0.01
2020-12-31,TATACONSUM.NS,0.1
2020-12-31,TATAMOTORS.NS,0.01
2020-12-31,TATASTEEL.NS,0.01
2020-12-31,TECHM.NS,0.01
2020-12-31,TITAN.NS,0.01
2020-12-31,UPL.NS,0.01
2020-12-31,ULTRACEMCO.NS,0.01
2020-12-31,WIPRO.NS,0.01
2021-12-31,ADANIENT.NS,0.1
2021-12-31,ADANIPORTS.NS,0.01
2021-12-31,APOLLOHOSP.NS,0.1
2021-12-31,ASIANPAINT.NS,0.01
2021-12-31,AXISBANK.NS,0.01
2021-12-31,BAJAJ-AUTO.NS,0.01
2021-12-31,BAJFINANCE.NS,0.01
2021-12-31,BAJAJFINSV.NS,0.01
2021-12-31,BPCL.NS,0.01
2021-12-31,BHARTIARTL.NS,0.01
2021-12-31,BRITANNIA.NS,0.01
