secid,2020-12-31,2021-12-31,2022-12-31
ADANIENT.NS,0.0788759224034568,0.439413682954811,0.783384335682914
ADANIPORTS.NS,0,0,0
APOLLOHOSP.NS,0,0.100775585849787,0
ASIANPAINT.NS,0.130796608915571,0,0
AXISBANK.NS,0,0,0
BAJAJ-AUTO.NS,0,0,0
BAJAJFINSV.NS,0,0,0
BAJFINANCE.NS,0,0,0
BHARTIARTL.NS,0,0,0
BPCL.NS,0,0,0
BRITANNIA.NS,0,0,0
CIPLA.NS,0,0.0485298701080934,0.0614741818097436
COALINDIA.NS,0,0,0.0252900812346043
DIVISLAB.NS,0.331610393989805,0.0523708344964586,0
DRREDDY.NS,0.116028763357009,0,0
EICHERMOT.NS,0,0,0
GRASIM.NS,0,0,0
HCLTECH.NS,0.033448578665212,0,0
HDFCBANK.NS,0,0,0
HDFCLIFE.NS,0,0,0
HEROMOTOCO.NS,0,0,0
HINDALCO.NS,0,0,0
HINDUNILVR.NS,0,0,0
ICICIBANK.NS,0,0,0
INDUSINDBK.NS,0,0,0
INFY.NS,0.049482954756424,0,0
ITC.NS,0,0,0.0119411568980175
JSWSTEEL.NS,0,0,0
KOTAKBANK.NS,0,0,0
LT.NS,0,0,0
LTIM.NS,0.0807013037511616,0.306146473480004,0
M&M.NS,0,0,0
MARUTI.NS,0,0,0
NESTLEIND.NS,0,0,0
NTPC.NS,0,0,0
ONGC.NS,0,0,0.0293477957864118
POWERGRID.NS,0,0,0.0778087789570445
RELIANCE.NS,0,0,0
SBILIFE.NS,0,0,0
SBIN.NS,0,0,0
SUNPHARMA.NS,0,0,0.0107536696312645
TATACONSUM.NS,0.17905547416136,0,0
TATAMOTORS.NS,0,0,0
TATASTEEL.NS,0,0,0
TCS.NS,0,0,0
TECHM.NS,0,0,0
TITAN.NS,0,0,0
ULTRACEMCO.NS,0,0,0
UPL.NS,0,0,0
WIPRO.NS,0,0.0527635531108465,0
